model,results
codeqwen-chat,"go,java,rb"
codellama-34b,sql
codestral-22b,"cs,go"
codestral-22b-v0.1-q5_0,sql
cogito-14b,java
devstral-24b-small-2505-q8_0,java
devstral-24b-small-2505-fp16,java
deepseek-r1-32b-qwen-distill-fp16,java
dolphin3-8b-llama3.1-q8_0,"java,py"
dolphin3-8b-llama3.1-fp16,cs
nhn-small-latest,"cs,go,java,py,sql"
nhn-small-og,"cs,css,go,java,kt,py,rb,sh,ts,xml,yml"
nhn-small-v2,"java,py,sql"
gemma3-27b,"java,sql"
hermes3-8b,"go,java"
qwen2.5-coder-32b-instruct-fp16,"java,sql"
qwen3-1.7b-fp16,"cpp,cs,go,java"
deepseek-r1-70b-llama-distill-q8_0,"go,java,sql"
mistral-small-24b-instruct-2501-fp16,"java,sql"
hermes3-70b,"cs,java"
mixtral-v0.1,"cs,go,java,py"
mixtral-8x7b-instruct-v0.1-q8_0,"java,js,py,sh"
magistral-24b-small-2506-q8_0,"cs,go,java,sql"
cogito-32b-v1-preview-qwen-fp16,"go,java,sh,sql"
hermes3-70b-llama3.1-fp16,"cs,java"
